"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Industrial Processes - Chemical Manuf","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","7686.3","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","5977.66","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fairfax","059","Nitrogen Oxides","CAP","5451.5199","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Halifax","083","Nitrogen Oxides","CAP","4011.7","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Buchanan","027","Nitrogen Oxides","CAP","4000.3094","TON"
"Mobile - Commercial Marine Vessels","VA","51","Northampton","131","Nitrogen Oxides","CAP","3888.91728927581","TON"
"Industrial Processes - NEC","VA","51","Halifax","083","Nitrogen Oxides","CAP","3824.793","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","3546.3","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Giles","071","Nitrogen Oxides","CAP","3525.155","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Rockbridge","163","Nitrogen Oxides","CAP","3261.178996","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","York","199","Nitrogen Oxides","CAP","3184.1","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","2985.4204","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Dickenson","051","Nitrogen Oxides","CAP","2963.2542","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","2815.44347","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Covington city","580","Nitrogen Oxides","CAP","2792.328","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henrico","087","Nitrogen Oxides","CAP","2691.32885","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Fairfax","059","Nitrogen Oxides","CAP","2552.4218","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Richmond city","760","Nitrogen Oxides","CAP","2543.196","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Wythe","197","Nitrogen Oxides","CAP","2413.08786","TON"
