"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","VA","51","Rockbridge","163","PM2.5 Primary (Filt + Cond)","CAP","999.08452001828","TON"
"Miscellaneous","VA","51","Giles","071","PM2.5 Primary (Filt + Cond)","CAP","859.272634940802","TON"
"Miscellaneous","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","798.378704911103","TON"
"Miscellaneous","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","792.613178871885","TON"
"Miscellaneous","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","783.654713367447","TON"
"Miscellaneous","VA","51","Caroline","033","PM2.5 Primary (Filt + Cond)","CAP","718.111337281864","TON"
"Miscellaneous","VA","51","Lee","105","PM2.5 Primary (Filt + Cond)","CAP","679.12675966966","TON"
"Miscellaneous","VA","51","Mecklenburg","117","PM2.5 Primary (Filt + Cond)","CAP","639.539570630826","TON"
"Miscellaneous","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","637.7949142608","TON"
"Miscellaneous","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","607.218709248119","TON"
"Miscellaneous","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","598.449668974374","TON"
"Fuel Comb. Industrial","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","571.460317123","TON"
"Other Industrial Processes","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","563.4379062415","TON"
"Miscellaneous","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","561.242192748639","TON"
"Fuel Comb. Industrial","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","544.4582308925","TON"
"Fuel Comb. Elec. Util.","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","530.846245","TON"
"Miscellaneous","VA","51","Nottoway","135","PM2.5 Primary (Filt + Cond)","CAP","505.607471650069","TON"
"Miscellaneous","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","501.80092888846","TON"
"Miscellaneous","VA","51","Russell","167","PM2.5 Primary (Filt + Cond)","CAP","483.93497251539","TON"
"Fuel Comb. Elec. Util.","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","458.0374366","TON"
"Waste Disposal & Recycling","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","426.499678","TON"
"Fuel Comb. Other","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","416.211846175","TON"
"Fuel Comb. Other","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","408.0622693475","TON"
"Miscellaneous","VA","51","Bland","021","PM2.5 Primary (Filt + Cond)","CAP","402.7921822018929","TON"
"Miscellaneous","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","400.493911513045","TON"
"Metals Processing","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","396.293765","TON"
"Miscellaneous","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","391.31008775098","TON"
"Miscellaneous","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","391.256845837215","TON"
"Miscellaneous","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","390.92621853477","TON"
"Miscellaneous","VA","51","Brunswick","025","PM2.5 Primary (Filt + Cond)","CAP","390.886295629612","TON"
"Miscellaneous","VA","51","Southampton","175","PM2.5 Primary (Filt + Cond)","CAP","377.276545288565","TON"
"Miscellaneous","VA","51","Dinwiddie","053","PM2.5 Primary (Filt + Cond)","CAP","369.299235067641","TON"
"Miscellaneous","VA","51","Charlotte","037","PM2.5 Primary (Filt + Cond)","CAP","363.400119940609","TON"
"Miscellaneous","VA","51","Scott","169","PM2.5 Primary (Filt + Cond)","CAP","362.684882862356","TON"
