"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Biogenics - Vegetation and Soil","VA","51","Halifax","083","Volatile Organic Compounds","CAP","17626","TON"
"Biogenics - Vegetation and Soil","VA","51","Pittsylvania","143","Volatile Organic Compounds","CAP","16240.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Mecklenburg","117","Volatile Organic Compounds","CAP","14796.7","TON"
"Biogenics - Vegetation and Soil","VA","51","Brunswick","025","Volatile Organic Compounds","CAP","13758.5","TON"
"Biogenics - Vegetation and Soil","VA","51","Buckingham","029","Volatile Organic Compounds","CAP","13616.5","TON"
"Biogenics - Vegetation and Soil","VA","51","Albemarle","003","Volatile Organic Compounds","CAP","12485.4","TON"
"Biogenics - Vegetation and Soil","VA","51","Dinwiddie","053","Volatile Organic Compounds","CAP","12404.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Sussex","183","Volatile Organic Compounds","CAP","12306.4","TON"
"Biogenics - Vegetation and Soil","VA","51","Franklin","067","Volatile Organic Compounds","CAP","12101.5","TON"
"Biogenics - Vegetation and Soil","VA","51","Southampton","175","Volatile Organic Compounds","CAP","11809.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Bedford","019","Volatile Organic Compounds","CAP","11694.9","TON"
"Biogenics - Vegetation and Soil","VA","51","Charlotte","037","Volatile Organic Compounds","CAP","11481.4","TON"
"Biogenics - Vegetation and Soil","VA","51","Caroline","033","Volatile Organic Compounds","CAP","11439.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Augusta","015","Volatile Organic Compounds","CAP","11347.5","TON"
"Biogenics - Vegetation and Soil","VA","51","Bath","017","Volatile Organic Compounds","CAP","11265.4","TON"
"Biogenics - Vegetation and Soil","VA","51","Louisa","109","Volatile Organic Compounds","CAP","10922.3","TON"
"Biogenics - Vegetation and Soil","VA","51","Rockingham","165","Volatile Organic Compounds","CAP","10907.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Lunenburg","111","Volatile Organic Compounds","CAP","10784.8","TON"
"Biogenics - Vegetation and Soil","VA","51","Nelson","125","Volatile Organic Compounds","CAP","10379.5","TON"
"Biogenics - Vegetation and Soil","VA","51","Rockbridge","163","Volatile Organic Compounds","CAP","10172","TON"
"Biogenics - Vegetation and Soil","VA","51","Botetourt","023","Volatile Organic Compounds","CAP","10068.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Hanover","085","Volatile Organic Compounds","CAP","10027.9","TON"
"Biogenics - Vegetation and Soil","VA","51","Campbell","031","Volatile Organic Compounds","CAP","9652.78","TON"
"Biogenics - Vegetation and Soil","VA","51","Patrick","141","Volatile Organic Compounds","CAP","9184.25","TON"
"Biogenics - Vegetation and Soil","VA","51","Amelia","007","Volatile Organic Compounds","CAP","9086.87","TON"
"Biogenics - Vegetation and Soil","VA","51","Alleghany","005","Volatile Organic Compounds","CAP","8932.89","TON"
"Biogenics - Vegetation and Soil","VA","51","Amherst","009","Volatile Organic Compounds","CAP","8861.54","TON"
"Biogenics - Vegetation and Soil","VA","51","Prince Edward","147","Volatile Organic Compounds","CAP","8833.78","TON"
"Biogenics - Vegetation and Soil","VA","51","Fauquier","061","Volatile Organic Compounds","CAP","8774.83","TON"
"Biogenics - Vegetation and Soil","VA","51","Spotsylvania","177","Volatile Organic Compounds","CAP","8587.93","TON"
"Biogenics - Vegetation and Soil","VA","51","Chesterfield","041","Volatile Organic Compounds","CAP","8531.77","TON"
"Biogenics - Vegetation and Soil","VA","51","Nottoway","135","Volatile Organic Compounds","CAP","8453.4","TON"
"Biogenics - Vegetation and Soil","VA","51","Shenandoah","171","Volatile Organic Compounds","CAP","8442.22","TON"
"Biogenics - Vegetation and Soil","VA","51","Cumberland","049","Volatile Organic Compounds","CAP","8251.36","TON"
"Biogenics - Vegetation and Soil","VA","51","Appomattox","011","Volatile Organic Compounds","CAP","8169.61","TON"
"Biogenics - Vegetation and Soil","VA","51","Suffolk city","800","Volatile Organic Compounds","CAP","8120.23","TON"
"Biogenics - Vegetation and Soil","VA","51","Scott","169","Volatile Organic Compounds","CAP","8097.15","TON"
"Biogenics - Vegetation and Soil","VA","51","Buchanan","027","Volatile Organic Compounds","CAP","7993.8","TON"
"Biogenics - Vegetation and Soil","VA","51","Henry","089","Volatile Organic Compounds","CAP","7889.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Fluvanna","065","Volatile Organic Compounds","CAP","7888.97","TON"
"Biogenics - Vegetation and Soil","VA","51","Highland","091","Volatile Organic Compounds","CAP","7510.59","TON"
"Biogenics - Vegetation and Soil","VA","51","Powhatan","145","Volatile Organic Compounds","CAP","7484.87","TON"
"Biogenics - Vegetation and Soil","VA","51","Goochland","075","Volatile Organic Compounds","CAP","7456.04","TON"
"Biogenics - Vegetation and Soil","VA","51","Craig","045","Volatile Organic Compounds","CAP","7173.17","TON"
"Biogenics - Vegetation and Soil","VA","51","Greensville","081","Volatile Organic Compounds","CAP","7171.49","TON"
"Biogenics - Vegetation and Soil","VA","51","Isle of Wight","093","Volatile Organic Compounds","CAP","7169.74","TON"
"Biogenics - Vegetation and Soil","VA","51","Giles","071","Volatile Organic Compounds","CAP","7148.29","TON"
"Biogenics - Vegetation and Soil","VA","51","Surry","181","Volatile Organic Compounds","CAP","7079.89","TON"
"Biogenics - Vegetation and Soil","VA","51","Lee","105","Volatile Organic Compounds","CAP","6918.59","TON"
"Biogenics - Vegetation and Soil","VA","51","King William","101","Volatile Organic Compounds","CAP","6844.84","TON"
