"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","322.8602891","TON"
"Other Industrial Processes","VA","51","King William","101","PM2.5 Primary (Filt + Cond)","CAP","316.7824805","TON"
"Miscellaneous","VA","51","Floyd","063","PM2.5 Primary (Filt + Cond)","CAP","312.15969078","TON"
"Miscellaneous","VA","51","Buckingham","029","PM2.5 Primary (Filt + Cond)","CAP","308.99522421","TON"
"Fuel Comb. Elec. Util.","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","292.54170125","TON"
"Miscellaneous","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","290.7174197","TON"
"Miscellaneous","VA","51","Dickenson","051","PM2.5 Primary (Filt + Cond)","CAP","290.52851402","TON"
"Fuel Comb. Industrial","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","288.60096711","TON"
"Miscellaneous","VA","51","Nottoway","135","PM2.5 Primary (Filt + Cond)","CAP","286.08097321","TON"
"Miscellaneous","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","276.6294766","TON"
"Miscellaneous","VA","51","Brunswick","025","PM2.5 Primary (Filt + Cond)","CAP","276.31564076","TON"
"Miscellaneous","VA","51","Madison","113","PM2.5 Primary (Filt + Cond)","CAP","275.59232045","TON"
"Waste Disposal & Recycling","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","273.298738","TON"
"Miscellaneous","VA","51","Pulaski","155","PM2.5 Primary (Filt + Cond)","CAP","271.62250541","TON"
"Fuel Comb. Industrial","VA","51","Lynchburg city","680","PM2.5 Primary (Filt + Cond)","CAP","269.12864799","TON"
"Miscellaneous","VA","51","Sussex","183","PM2.5 Primary (Filt + Cond)","CAP","267.91616121","TON"
"Waste Disposal & Recycling","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","265.058547","TON"
"Miscellaneous","VA","51","Henry","089","PM2.5 Primary (Filt + Cond)","CAP","264.865903","TON"
"Miscellaneous","VA","51","Giles","071","PM2.5 Primary (Filt + Cond)","CAP","257.43521665","TON"
"Miscellaneous","VA","51","Amelia","007","PM2.5 Primary (Filt + Cond)","CAP","253.73664613","TON"
"Off-Highway","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","252.432434475753000003890636604","TON"
"Other Industrial Processes","VA","51","Botetourt","023","PM2.5 Primary (Filt + Cond)","CAP","252.095890535","TON"
"Miscellaneous","VA","51","Nelson","125","PM2.5 Primary (Filt + Cond)","CAP","240.82984","TON"
"Waste Disposal & Recycling","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","239.100658","TON"
"Miscellaneous","VA","51","Grayson","077","PM2.5 Primary (Filt + Cond)","CAP","237.75442521","TON"
"Miscellaneous","VA","51","Amherst","009","PM2.5 Primary (Filt + Cond)","CAP","233.63578454","TON"
"Miscellaneous","VA","51","Prince George","149","PM2.5 Primary (Filt + Cond)","CAP","232.29189473","TON"
"Miscellaneous","VA","51","Powhatan","145","PM2.5 Primary (Filt + Cond)","CAP","232.00516912","TON"
"Miscellaneous","VA","51","Goochland","075","PM2.5 Primary (Filt + Cond)","CAP","231.73167684","TON"
"Miscellaneous","VA","51","Northampton","131","PM2.5 Primary (Filt + Cond)","CAP","219.72682535","TON"
"Miscellaneous","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","218.9867102","TON"
"Miscellaneous","VA","51","Appomattox","011","PM2.5 Primary (Filt + Cond)","CAP","216.52102967","TON"
"Miscellaneous","VA","51","Gloucester","073","PM2.5 Primary (Filt + Cond)","CAP","207.5148406","TON"
"Miscellaneous","VA","51","Patrick","141","PM2.5 Primary (Filt + Cond)","CAP","203.96865608","TON"
"Fuel Comb. Industrial","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","203.113373147","TON"
"Fuel Comb. Industrial","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","202.691666982","TON"
"Miscellaneous","VA","51","Bland","021","PM2.5 Primary (Filt + Cond)","CAP","198.61771468","TON"
"Fuel Comb. Industrial","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","195.4748184715","TON"
"Miscellaneous","VA","51","Clarke","043","PM2.5 Primary (Filt + Cond)","CAP","194.30078967","TON"
"Fuel Comb. Elec. Util.","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","188.82732874","TON"
"Miscellaneous","VA","51","Greensville","081","PM2.5 Primary (Filt + Cond)","CAP","187.43152071","TON"
"Miscellaneous","VA","51","Westmoreland","193","PM2.5 Primary (Filt + Cond)","CAP","186.75729165","TON"
"Miscellaneous","VA","51","Fluvanna","065","PM2.5 Primary (Filt + Cond)","CAP","186.75264936","TON"
